model,accuracy,f1_macro,precision_macro,recall_macro
Decision Tree,0.9818181818181818,0.9817035702203166,0.9841597796143251,0.9818181818181817
Logistic Regression,0.9590909090909091,0.9585534083141738,0.963957759412305,0.9590909090909091
Random Forest,0.990909090909091,0.9908172635445364,0.9924242424242425,0.990909090909091
Bagging,0.9818181818181818,0.9810606060606062,,
GradientBoosting,0.9818181818181818,0.9814929092086179,,
